"type","porteur","nature","periode"
"commEdit","P. Castagliola","Editeur associé pour Journal of Quality Technology","2016-2018"
"commEdit","P. Castagliola","Editeur associé pour Quality Technology \& Quantitative Management","2012- ..."
"commEdit","P. Castagliola","Editeur associé pour Communications in Statistics","2015-..."
"commEdit","P. Castagliola","Editeur associé pour Quality Engineering","2019-..."
"commEdit","A. Dolgui","Editor-in-Chief of International Journal of Production Research (Taylor & Francis)","2012-..."
"commEdit","A. Dolgui","Consulting Editor of International Journal of Systems Science (Taylor & Francis)","2009-..."
"commEdit","A. Dolgui","Area Editor of Computers \& Industrial Engineering (Elsevier)","2010-..."
"commEdit","A. Dolgui","Department Editor of Modern Supply Chain Research and Applications (Emerald)","2018-..."
"commEdit","A. Dolgui","Associate Editor of Journal Européen des Systèmes Automatisés (Hermès Science)","2007-..."
"commEdit","A. Dolgui","Membre de Editorial Board de 26 autres revues internationales","2009-"
