"nomPrenom","labelType","type","intitule","duree","periode"
"F. Lehuédé, O. Péton","OCI","Organisations de colloques/congrès internationaux","NOW 2015, Network Optimization Workshop, La Rochelle.",,2015
"F. Lehuédé, O. Péton","OCI","Organisations de colloques/congrès internationaux","VeRoLog 2016. Annual workshop of the EURO working group on Vehicle Routing and Logistics optimization, Nantes.",,2016
"F. Lehuédé, O. Péton","OCN","Organisations de colloques/congrès nationaux","ROADEF 2018, Congrès annuel de la société Française de Recherche Opérationnelle et d'Aide à la Décision, Lorient.",,2018
"G. Massonnet, F. Lehuédé","OCN","Organisations de colloques/congrès nationaux","aLife. Apport de l'industrie du Logiciel à l'Industrie du Futur Européenne. Nantes",2019,
"F. Lehuédé, O. Péton","OCI","Organisations de colloques/congrès internationaux","Synchrotrans 2019. 2nd international workshop on Synchronization in Transport. Nantes",,2019
"D. Lemoine","OCN","Organisations de colloques/congrès nationaux","Ecole doctorale MACS 2019, Bordeaux.",,2019
"Philippe Grangier, Marc Brisson, Michel Gendreau, Fabien Lehuédé, Louis-Martin Rousseau, John Ye","prix","Prix et/ou distinctions","1st Prize CORS Practice Prize Competition. A Two-Phase Algorithm for a 3D Container Loading Problem.",,2017
"Mike Hewitt, Fabien Lehuédé","prix","Prix et/ou distinctions","Transportation Science and Logistics Society Cross Regional Grant. Constraint Propagation and Search Strategies for Dynamic Discretization Discovery.",,2018
"Alexandre Dolgui","prix","Prix et/ou distinctions","Prix du meilleur article de la conférence LDIC 2018. Simulation vs optimization approaches to ripple effect modelling in the supply chain",,2018
"O. Péton","RSS","Responsabilités dans les sociétés savantes","Co-animateur du groupe de travail EWGLA (Euro Working Group in Location Analysis) de Euro",,"2015-2019"
"D. Lemoine","RSS","Responsabilités dans les sociétés savantes","Co-animateur du groupe de travail BERMUDES des GDR RO et MACS du CNRS",,"2014-..."
"P. Castagliola","ICE","Invitations à des colloques/congrès à l'étranger (spécifiquement Conférencier invité)","Closing Ceremony Keynote Speech, « New challenges on SPC », Summer school, Karlovassi, Samos, Greece",,"05/07/16"
"P. Castagliola","ICE","Invitations à des colloques/congrès à l'étranger (spécifiquement Conférencier invité)","Seminar « Inflated Processes: Estimated Parameter Case and Extensions », University of Waterloo, Waterloo, Ontario, Canada",,"15/12/16"
"P. Castagliola","ICE","Invitations à des colloques/congrès à l'étranger (spécifiquement Conférencier invité)","15th Workshop on Quality Improvement Methods, « An EWMA-Type Sign Chart with Exact Run Length Properties », Dortmund University, Dortmund, Germany",,"16-17/06/2017"
"P. Castagliola","ICE","Invitations à des colloques/congrès à l'étranger (spécifiquement Conférencier invité)","16th Workshop on Quality Improvement Methods, « Monitoring Compositional Data using Multivariate EWMA », Dortmund University, Dortmund, Germany",,"1-2/06/2018"
"P. Castagliola","ICE","Invitations à des colloques/congrès à l'étranger (spécifiquement Conférencier invité)","17th Workshop on Quality Improvement Methods, « Monitoring Zero Inflated Poisson Processes: Estimated Parameter Case and Extensions », Dortmund University, Dortmund, Germany",,"14-15/06/2019"
"P. Castagliola","ICE","Invitations à des colloques/congrès à l'étranger (spécifiquement Conférencier invité)","Seminar entitled « Monitoring Compositional Data using Multivariate EWMA », Athens University of Economics and Business, department of Statistics, Athens, Greece",,"02/2020"
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","Shaastrarth 2015: International Conference on Adavced Research Applications in Engineering and Technology, June 29-30, 2015, Rungta College of Engineering \& Technology, Bhilai, India",,2015
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","IIE International Conference on Engineering Systems and Networks: The way ahead for industrial engineering and operations management (ICIEOM-CIO - IIIE 2015), Universidade de Aveiro, Portugal, July 6th - 8th, 2015 ",,2015
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","2015 IEEE Symposium on Analytics and Risk in Complex Management Systems (ISARCRM 2015), Beijing, University of Chinese Academy of Sciences, August 14-15, 2015 ",,2015
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","Workshop – ALBP 60 years later: State-of-the-art and Future developments roadmap-, Toulouse, France, November 5th-6th, 2015",,2015
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","5th International Conference on Operations Research and Entreprise Systems (ICORES-2016), Rome, Italy, February 23-25, 2016",,2016
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","International Conference on Industrial Engineering and Systems Management (IESM 2017), Saarbrucken, Germany, October 11-13, 2017",,2017
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","24th International Conference on Production Research (ICPR 24), Poznan, Poland, July 30 -  August 3, 2017",,2017
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","the 18th Asia Pacific Industrial Engineering and Management System Conference 2017, Yogyakarta, 3-6 December 2017, Indonesia",,2017
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","8th International conference – Tanaev's Readings 2018-, March 27-30, 2018, Minsk, Belarus",,2018
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","Optimization Problems and Their Applications, OPTA 2018, 7th International Conference, Omsk, Russia, 8-14 July 2018",,2018
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","16th Int. Logistics and Supply Chain Congress (LMSCM 2018), 18-20 October, 2018, Pamukkale University, Denizli, Turkey",,2018
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","The XIX Congress of the Portuguese Association of Operational Research, 5-8 September 2018, University of Aveiro, Portugal.",,2018
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","14th International Industrial Engineering Conference, February 7-8, 2018, Tehran, University of Teheran, Iran",,2018
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","The 48th International Conference on Computers \& Industrial Engineering (CIE48), Auckland, New Zeland, 2- 5 December 2018",,2018
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","The 19th Asia Pacific Conference on Industrial Engineering and Management Systems (APIEMS 2018), Hong Kong, 5-8 December 2018, The University of Hong Kong",,2018
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","XI Summer School of Operational, Data and Decision Making (ORA-2019), Higher School of Economics, Nizhny Novgorod, Russia, May 21, 2019",,2019
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","9th International conference on Network Analysis, NET-2019, Higher School of Economics, Moscow, Russia, May 18, 2019",,2019
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","14th-International Congress of Logistics and SCM Systems (ICLS 2019), August 19-22, 2019, Taipei, Taiwan.",,2019
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","International Conference on Intelligent Transportation and Logistics with Big Data (ICITL 2019), 26 - 28 July 2019, Windsor, Canada",,2019
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","The 8th International Conference on Industrial Engineering and Systems Management (IESM 2019), September 25 - 27, 2019, Donghua University, Shanghai, China",,2019
"A. Dolgui","ICEP","Invitations à des colloques/congrès à l'étranger (Conférencier plenier invité)","The 9th Triennial IFAC Conference on Manufacturing Modelling, Management and Control (MIM 2019), Berlin, Germany, August 28 to 30, 2019",,2019
"A. Dolgui","invSem","Invitation au seminaire","Invited Seminar, Bandung Institute of Technology, Indonesia",,2017
"A. Dolgui","invSem","Invitation au seminaire","Industrie 4.0, presentation au seminaire « Usine du futur » -  l’Université de technologie de Troyes, Mai, 2017",,2017
"A. Dolgui","invSem","Invitation au seminaire","seminaire invité FORAC et CIRRELT, Université Laval, 12 octobre 2018, Québec, Canada",,2018
"A. Dolgui","invSem","Invitation au seminaire","Seminar, School of Economics and Management, Fuzhou University, China. September 30, 2019",,2019
"A. Dolgui","OrgIfac","Organisation d'une conférence de l'IFAC","Chair of Steering Committee, Editor of proceedings, MIM' 2016, 540 participants, 52 pays, Troyes, France",,2016
"A. Dolgui","OrgIfac","Organisation d'une conférence de l'IFAC","Chair of IPC, Editor of proceedings, MIM' 2019, 744 participants, 51 pays, Berlin, Germany",,2019
"A. Dolgui","OrgIfac","Organisation d'un symposium de l'IFAC","Chair of IPC, Editor of proceedings, INCOM' 2015, 450 participants, 46 pays, Ottawa, Canada",,2019
"A. Dolgui","prix","Prix et/ou distinctions","Honorary Adjunct Professor in Industrial Engineering, Bandung Institute of Technology (ITB), Indonesia",,2017
"A. Dolgui","prix","Prix et/ou distinctions","IEOM Distinguished Educator Award, Industrial Engineering and Operations Management Society (IEOM)",,2018
"A. Dolgui","prix","Prix et/ou distinctions","3 papers are awarded by International Journal of Production Research as most cited papers published in the journal in 2018 ",,2019
"A. Dolgui","prix","Prix et/ou distinctions","3 papers are awarded by International Journal of Production Research as most cited papers published in the journal in 2019 ",,2020
"A. Dolgui","prix","Prix et/ou distinctions","Distinguished Fellow of International Engineering and Technology Institute (IETI), elected in 2019",,2019
"A. Dolgui","RSS","Responsabilités dans les sociétés savantes","Chair of the IFAC Technical Committee TC 5.2 « Manufacturing Modelling for Management and Contro »",,"2015-2017"
"A. Dolgui","RSS","Responsabilités dans les sociétés savantes","Vice-chair of the IFAC Technical Committee TC 5.2 « Manufacturing Modelling for Management and Control »,",,"2017-2020"
"A. Dolgui","RSS","Responsabilités dans les sociétés savantes","Member of the Board of the International Foundation for Production Research (IFPR), depuis 2005 ",,"2015-2020"
